# tracer: nop
#
# entries-in-buffer/entries-written: 78/78   #P:12
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
        trace_me-190405  [009] ...1. 188291.075589: sys_execve -> 0x0
        trace_me-190405  [009] ...1. 188291.075636: sys_brk(brk: 0)
        trace_me-190405  [009] ...1. 188291.075638: sys_brk -> 0x55be40235000
        trace_me-190405  [009] ...1. 188291.075727: sys_access(filename: 7f3373f9c5c0, mode: 4)
        trace_me-190405  [009] ...1. 188291.075734: sys_access -> 0xfffffffffffffffe
        trace_me-190405  [009] ...1. 188291.075739: sys_openat(dfd: ffffff9c, filename: 7f3373f9b474, flags: 80000, mode: 0)
        trace_me-190405  [009] ...1. 188291.075747: sys_openat -> 0x3
        trace_me-190405  [009] ...1. 188291.075749: sys_newfstatat(dfd: 3, filename: 7f3373f9bfe0, statbuf: 7ffd0e35b4b0, flag: 1000)
        trace_me-190405  [009] ...1. 188291.075753: sys_newfstatat -> 0x0
        trace_me-190405  [009] ...1. 188291.075754: sys_mmap(addr: 0, len: 1fa93, prot: 1, flags: 2, fd: 3, off: 0)
        trace_me-190405  [009] ...1. 188291.075762: sys_mmap -> 0x7f3373f4c000
        trace_me-190405  [009] ...1. 188291.075763: sys_close(fd: 3)
        trace_me-190405  [009] ...1. 188291.075764: sys_close -> 0x0
        trace_me-190405  [009] ...1. 188291.075795: sys_openat(dfd: ffffff9c, filename: 7f3373fa6fa0, flags: 80000, mode: 0)
        trace_me-190405  [009] ...1. 188291.075801: sys_openat -> 0x3
        trace_me-190405  [009] ...1. 188291.075802: sys_read(fd: 3, buf: 7ffd0e35b618, count: 340)
        trace_me-190405  [009] ...1. 188291.075805: sys_read -> 0x340
        trace_me-190405  [009] ...1. 188291.075806: sys_pread64(fd: 3, buf: 7ffd0e35b230, count: 310, pos: 40)
        trace_me-190405  [009] ...1. 188291.075808: sys_pread64 -> 0x310
        trace_me-190405  [009] ...1. 188291.075809: sys_newfstatat(dfd: 3, filename: 7f3373f9bfe0, statbuf: 7ffd0e35b4b0, flag: 1000)
        trace_me-190405  [009] ...1. 188291.075810: sys_newfstatat -> 0x0
        trace_me-190405  [009] ...1. 188291.075812: sys_mmap(addr: 0, len: 2000, prot: 3, flags: 22, fd: ffffffff, off: 0)
        trace_me-190405  [009] ...1. 188291.075825: sys_mmap -> 0x7f3373f4a000
        trace_me-190405  [009] ...1. 188291.075834: sys_pread64(fd: 3, buf: 7ffd0e35b100, count: 310, pos: 40)
        trace_me-190405  [009] ...1. 188291.075836: sys_pread64 -> 0x310
        trace_me-190405  [009] ...1. 188291.075842: sys_mmap(addr: 0, len: 1e7dd0, prot: 1, flags: 802, fd: 3, off: 0)
        trace_me-190405  [009] ...1. 188291.075875: sys_mmap -> 0x7f3373d62000
        trace_me-190405  [009] ...1. 188291.075878: sys_mmap(addr: 7f3373d88000, len: 15a000, prot: 5, flags: 812, fd: 3, off: 26000)
        trace_me-190405  [009] ...1. 188291.075902: sys_mmap -> 0x7f3373d88000
        trace_me-190405  [009] ...1. 188291.075903: sys_mmap(addr: 7f3373ee2000, len: 55000, prot: 1, flags: 812, fd: 3, off: 180000)
        trace_me-190405  [009] ...1. 188291.075916: sys_mmap -> 0x7f3373ee2000
        trace_me-190405  [009] ...1. 188291.075918: sys_mmap(addr: 7f3373f37000, len: 6000, prot: 3, flags: 812, fd: 3, off: 1d4000)
        trace_me-190405  [009] ...1. 188291.075930: sys_mmap -> 0x7f3373f37000
        trace_me-190405  [009] ...1. 188291.075940: sys_mmap(addr: 7f3373f3d000, len: cdd0, prot: 3, flags: 32, fd: ffffffff, off: 0)
        trace_me-190405  [009] ...1. 188291.075949: sys_mmap -> 0x7f3373f3d000
        trace_me-190405  [009] ...1. 188291.075973: sys_close(fd: 3)
        trace_me-190405  [009] ...1. 188291.075974: sys_close -> 0x0
        trace_me-190405  [009] ...1. 188291.075991: sys_mmap(addr: 0, len: 3000, prot: 3, flags: 22, fd: ffffffff, off: 0)
        trace_me-190405  [009] ...1. 188291.075997: sys_mmap -> 0x7f3373d5f000
        trace_me-190405  [009] ...1. 188291.076009: sys_arch_prctl(option: 1002, arg2: 7f3373d5f740)
        trace_me-190405  [009] ...1. 188291.076010: sys_arch_prctl -> 0x0
        trace_me-190405  [009] ...1. 188291.076011: sys_set_tid_address(tidptr: 7f3373d5fa10)
        trace_me-190405  [009] ...1. 188291.076012: sys_set_tid_address -> 0x2e7c5
        trace_me-190405  [009] ...1. 188291.076013: sys_set_robust_list(head: 7f3373d5fa20, len: 18)
        trace_me-190405  [009] ...1. 188291.076014: sys_set_robust_list -> 0x0
        trace_me-190405  [009] ...1. 188291.076015: sys_rseq(rseq: 7f3373d60060, rseq_len: 20, flags: 0, sig: 53053053)
        trace_me-190405  [009] ...1. 188291.076016: sys_rseq -> 0x0
        trace_me-190405  [009] ...1. 188291.076143: sys_mprotect(start: 7f3373f37000, len: 4000, prot: 1)
        trace_me-190405  [009] ...1. 188291.076157: sys_mprotect -> 0x0
        trace_me-190405  [009] ...1. 188291.076167: sys_mprotect(start: 55be32bcb000, len: 1000, prot: 1)
        trace_me-190405  [009] ...1. 188291.076173: sys_mprotect -> 0x0
        trace_me-190405  [009] ...1. 188291.076180: sys_mprotect(start: 7f3373fa3000, len: 2000, prot: 1)
        trace_me-190405  [009] ...1. 188291.076188: sys_mprotect -> 0x0
        trace_me-190405  [009] ...1. 188291.076214: sys_prlimit64(pid: 0, resource: 3, new_rlim: 0, old_rlim: 7ffd0e35bff0)
        trace_me-190405  [009] ...1. 188291.076216: sys_prlimit64 -> 0x0
